Profile: allExchangesTenMins
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-03-23 08:00:28, 37330764,57255, 420.02, 403.27, 420.02, 413.89, 418.17, 416.49, 415.1, 420.35, 412.15, 446.4, 401.53, False, 362.23, False, -0.004, -0.004, 0.0, 0.007, 0.014, 0.04, 0.134, 
2016-03-23 08:11:09, 33530803,60462, 424.0, 407.93, 422.03, 413.78, 420.46, 416.35, 416.6, 420.17, 411.3, 442.11, 384.88, False, 333.78, False, -0.008, -0.004, 0.0, 0.009, 0.022, 0.085, 0.206, 
2016-03-23 08:21:31, 38745149,70306, 418.91, 402.5, 418.91, 413.87, 418.75, 416.39, 415.0, 420.07, 412.12, 434.36, 404.7, False, 372.14, False, -0.0, -0.0, 0.0, 0.009, 0.016, 0.034, 0.111, 
2016-03-23 08:32:05, 38948733,68876, 418.92, 403.18, 418.87, 414.0, 418.67, 416.71, 415.38, 420.09, 412.24, 434.34, 405.13, False, 373.7, False, -0.001, -0.0, 0.0, 0.008, 0.015, 0.032, 0.107, 
2016-03-23 08:42:28, 38375253,68378, 419.81, 404.07, 418.71, 414.38, 417.81, 416.92, 415.33, 420.53, 412.24, 434.5, 404.07, False, 369.64, False, -0.005, -0.002, 0.0, 0.006, 0.013, 0.033, 0.115, 
2016-03-23 08:52:53, 38520544,62976, 420.01, 403.18, 420.01, 414.44, 419.85, 416.87, 415.65, 420.37, 412.33, 436.71, 404.16, False, 369.83, False, -0.0, -0.0, 0.0, 0.01, 0.018, 0.037, 0.119, 
2016-03-23 09:03:12, 37678678,62328, 420.12, 403.18, 420.0, 414.22, 419.85, 416.74, 415.57, 420.95, 412.27, 437.56, 402.47, False, 362.7, False, -0.001, -0.0, 0.0, 0.01, 0.018, 0.041, 0.136, 
2016-03-23 09:13:38, 37855386,62658, 420.1, 402.49, 420.1, 413.92, 420.04, 416.44, 415.79, 419.79, 412.39, 437.0, 403.03, False, 362.94, False, -0.0, -0.0, 0.0, 0.01, 0.018, 0.04, 0.136, 
2016-03-23 09:23:55, 37255426,62352, 420.1, 403.21, 420.1, 414.22, 420.04, 416.71, 415.81, 420.47, 412.36, 437.37, 401.41, False, 362.23, False, -0.0, -0.0, 0.0, 0.01, 0.018, 0.044, 0.138, 
2016-03-23 09:34:32, 37374743,62192, 418.67, 403.19, 418.67, 414.48, 417.45, 416.94, 415.06, 420.08, 412.15, 437.69, 401.7, False, 362.31, False, -0.003, -0.003, 0.0, 0.006, 0.013, 0.038, 0.132, 
2016-03-23 09:44:57, 23726844,61884, 418.81, 400.62, 418.81, 414.48, 418.79, 416.9, 416.04, 420.77, 388.54, 438.21, 284.74, False, 235.07, False, 0.0, 0.0, 0.0, 0.007, 0.072, 0.32, 0.439, 
2016-03-23 09:55:17, 41352269,61354, 418.82, 400.78, 418.78, 414.6, 418.57, 417.27, 416.34, 420.45, 414.59, 438.96, 409.71, False, 388.73, False, -0.001, -0.001, 0.0, 0.005, 0.01, 0.021, 0.071, 
2016-03-23 10:05:43, 41900541,61948, 419.1, 406.76, 418.82, 415.17, 418.49, 417.3, 416.5, 420.95, 414.62, 438.1, 410.08, False, 391.5, False, -0.001, -0.001, 0.0, 0.005, 0.009, 0.02, 0.064, 
2016-03-23 10:16:15, 41919280,59503, 419.42, 406.76, 418.82, 415.74, 418.55, 417.36, 416.67, 420.99, 414.63, 440.76, 410.14, False, 391.55, False, -0.002, -0.001, 0.0, 0.004, 0.009, 0.02, 0.065, 
2016-03-23 10:26:34, 41988283,59831, 418.82, 403.04, 418.82, 415.41, 418.32, 416.79, 416.35, 420.2, 414.59, 439.81, 410.07, False, 391.8, False, -0.001, -0.001, 0.0, 0.005, 0.009, 0.02, 0.063, 
2016-03-23 10:36:50, 30144786,60622, 418.82, 408.35, 418.78, 414.39, 418.35, 416.53, 416.13, 420.0, 408.28, 438.43, 359.5, False, 300.46, False, -0.001, -0.001, 0.0, 0.005, 0.024, 0.141, 0.282, 
2016-03-23 10:47:23, An exchange was down. This profile is being skipped. Failed exchange = (unable to determine failed exchange.)
2016-03-23 10:57:22, 23386739,58570, 419.37, 409.84, 419.02, 414.21, 418.7, 416.58, 415.9, 420.05, 387.36, 442.68, 283.52, False, 233.64, False, -0.002, -0.001, 0.0, 0.007, 0.075, 0.323, 0.442, 
2016-03-23 11:07:51, 23077792,60531, 417.55, 410.77, 417.02, 414.7, 417.01, 416.7, 415.18, 419.85, 385.15, 438.27, 282.24, False, 230.72, False, -0.001, -0.0, 0.0, 0.004, 0.076, 0.323, 0.447, 
2016-03-23 11:18:21, 24778129,59569, 421.18, 398.81, 417.62, 414.66, 417.04, 416.62, 415.3, 419.84, 394.78, 440.06, 307.18, False, 247.26, False, -0.01, -0.001, 0.0, 0.004, 0.053, 0.263, 0.407, 
2016-03-23 11:28:39, 24834706,59617, 418.03, 406.51, 417.15, 414.21, 417.01, 416.62, 415.26, 419.72, 395.08, 440.04, 307.39, False, 247.5, False, -0.002, -0.0, 0.0, 0.004, 0.053, 0.263, 0.406, 
2016-03-23 11:38:58, 24438331,57466, 417.98, 403.2, 417.25, 413.9, 417.0, 416.67, 415.14, 419.87, 392.62, 445.8, 304.34, False, 241.05, False, -0.002, -0.001, 0.0, 0.004, 0.058, 0.27, 0.422, 
2016-03-23 11:49:36, 29292456,60099, 419.04, 406.76, 419.0, 414.16, 419.0, 416.77, 419.0, 419.61, 408.31, 439.16, 351.42, False, 291.1, False, -0.0, 0.0, 0.0, 0.0, 0.026, 0.161, 0.305, 
2016-03-23 11:59:58, 29219760,60310, 419.04, 405.9, 419.0, 414.32, 419.0, 416.82, 419.0, 419.76, 408.21, 438.84, 351.25, False, 290.86, False, -0.0, 0.0, 0.0, 0.0, 0.026, 0.162, 0.306, 
2016-03-23 12:10:50, 34678041,60582, 419.0, 398.57, 419.0, 414.21, 419.0, 416.72, 419.0, 419.61, 413.69, 438.39, 392.35, False, 343.13, False, 0.0, 0.0, 0.0, 0.0, 0.013, 0.064, 0.181, 
2016-03-23 12:21:18, 32974471,60450, 419.0, 398.8, 419.0, 414.27, 419.0, 416.66, 417.98, 419.7, 411.89, 438.52, 381.63, False, 328.4, False, 0.0, 0.0, 0.0, 0.002, 0.017, 0.089, 0.216, 
2016-03-23 12:32:00, 33272112,60466, 419.0, 410.11, 419.0, 413.21, 419.0, 416.62, 417.98, 419.71, 411.85, 438.51, 383.07, False, 329.02, False, 0.0, 0.0, 0.0, 0.002, 0.017, 0.086, 0.215, 
2016-03-23 12:42:23, 32253339,59533, 420.07, 404.17, 419.08, 413.87, 419.0, 416.73, 418.0, 419.79, 411.36, 440.21, 375.06, False, 310.5, False, -0.003, -0.0, 0.0, 0.002, 0.018, 0.105, 0.259, 
2016-03-23 12:53:36, 36002960,61873, 419.04, 399.94, 419.0, 413.88, 419.0, 416.73, 417.94, 420.03, 413.3, 438.0, 397.73, False, 353.29, False, -0.0, 0.0, 0.0, 0.003, 0.014, 0.051, 0.157, 
2016-03-23 13:03:11, 32735402,68204, 421.82, 404.66, 420.66, 414.14, 419.04, 416.77, 417.99, 420.2, 411.76, 432.79, 378.26, False, 326.35, False, -0.007, -0.004, 0.0, 0.003, 0.017, 0.097, 0.221, 
2016-03-23 13:13:33, An exchange was down. This profile is being skipped. Failed exchange = (unable to determine failed exchange.)
2016-03-23 13:24:00, 51445910,66086, 419.11, 398.0, 419.03, 414.06, 419.0, 416.83, 417.61, 420.1, 413.88, 432.42, 413.52, False, 411.2, False, -0.0, -0.0, 0.0, 0.003, 0.012, 0.013, 0.019, 
2016-03-23 13:34:31, 51463276,66549, 419.12, 406.52, 419.03, 414.12, 419.0, 416.55, 417.89, 419.93, 413.88, 432.02, 413.52, False, 411.23, False, -0.0, -0.0, 0.0, 0.003, 0.012, 0.013, 0.019, 
2016-03-23 13:44:57, 51522439,66103, 419.0, 410.09, 419.0, 413.81, 419.0, 416.45, 417.51, 419.97, 413.83, 432.24, 413.45, False, 411.18, False, 0.0, 0.0, 0.0, 0.004, 0.012, 0.013, 0.019, 
2016-03-23 13:55:35, 51331211,65869, 419.3, 402.88, 419.0, 413.87, 419.0, 416.5, 417.54, 419.86, 413.84, 432.29, 413.5, False, 411.17, False, -0.001, 0.0, 0.0, 0.003, 0.012, 0.013, 0.019, 
2016-03-23 14:05:41, An exchange was down. This profile is being skipped. Failed exchange = (unable to determine failed exchange.)
