Profile: allExchangesDaily
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-03-22 20:23:00, 47546697,47790, 418.96, 413.06, 417.92, 413.65, 417.72, 416.62, 417.06, 419.92, 413.96, False, 412.51, False, 406.82, False, -0.003, -0.0, 0.0, 0.002, 0.009, 0.012, 0.026, 
2016-03-25 08:23:35, 38157433,77909, 419.57, 410.05, 417.18, 413.45, 415.78, 415.97, 413.67, 417.46, 411.84, 424.64, 403.31, False, 368.74, False, -0.009, -0.003, 0.0, 0.005, 0.009, 0.03, 0.113, 
2016-03-27 20:24:21, 44455170,75559, 428.31, 411.59, 427.99, 421.36, 426.53, 425.12, 423.64, 427.77, 421.7, 435.33, 418.06, False, 404.91, False, -0.004, -0.003, 0.0, 0.007, 0.011, 0.02, 0.051, 
2016-03-30 08:25:04, 33037494,69543, 417.64, 407.65, 413.69, 410.71, 413.24, 413.15, 412.07, 416.62, 407.76, 426.5, 380.65, False, 314.74, False, -0.011, -0.001, 0.0, 0.003, 0.013, 0.079, 0.238, 
2016-04-01 20:26:07, 37022925,82876, 417.74, 401.19, 416.88, 413.2, 416.07, 414.86, 415.21, 417.37, 413.09, 420.21, 401.85, 447.83, 356.47, False, -0.004, -0.002, 0.0, 0.002, 0.007, 0.034, 0.143, 
2016-04-10 22:05:03, 35626920,70380, 423.17, 406.08, 422.41, 417.11, 421.27, 420.79, 420.25, 423.41, 417.76, 429.4, 400.24, False, 351.6, False, -0.005, -0.003, 0.0, 0.002, 0.008, 0.05, 0.165, 
2016-04-13 10:05:37, 37907044,101566, 425.98, 413.34, 425.53, 420.69, 425.45, 423.39, 423.12, 426.35, 421.59, 427.98, 411.05, 430.28, 370.12, 456.16, -0.001, -0.0, 0.0, 0.005, 0.009, 0.034, 0.13, 
2016-04-15 22:06:19, 34704325,116168, 430.94, 411.99, 430.73, 422.88, 429.87, 427.77, 427.48, 429.6, 424.72, 431.73, 399.15, 433.61, 345.71, 436.95, -0.002, -0.002, 0.0, 0.006, 0.012, 0.071, 0.196, 
2016-04-18 10:06:52, 33128988,104504, 430.09, 411.99, 429.99, 421.2, 428.92, 426.78, 426.04, 429.3, 422.59, 430.52, 385.54, 431.51, 322.1, 447.15, -0.003, -0.002, 0.0, 0.007, 0.015, 0.101, 0.249, 
2016-04-25 03:20:07, An exchange was down. This profile is being skipped. Failed exchange = Bitfinex, URL=https://api.bitfinex.com/v1/book/BTCUSD?limit_asks=1000000000000000000&limit_bids=1000000000000000000
2016-04-25 21:33:45, 31990990,121026, 468.43, 412.07, 467.95, 454.41, 466.51, 457.99, 459.64, 460.43, 447.32, 469.33, 380.81, 485.68, 307.48, 485.68, -0.004, -0.003, 0.0, 0.015, 0.041, 0.184, 0.341, 
2016-04-28 09:34:29, 39499552,78902, 445.04, 412.07, 444.56, 437.66, 442.96, 443.1, 440.99, 445.72, 438.2, 448.26, 427.76, False, 385.43, False, -0.005, -0.004, 0.0, 0.004, 0.011, 0.034, 0.13, 
2016-05-01 01:38:39, 39259497,52747, 453.36, 412.07, 452.67, 440.25, 448.17, 447.44, 444.63, 450.95, 442.13, 493.94, 429.23, False, 379.3, False, -0.012, -0.01, 0.0, 0.008, 0.013, 0.042, 0.154, 
